DESTINO,latitude,longitude,MES,QT_MES,VL_MES
RIO DE JANEIRO,-22.25,-42.66,4,60,3600000
RIO DE JANEIRO,-22.25,-42.66,8,193,7298960
RIO DE JANEIRO,-22.25,-42.66,9,50,2953160
RIO DE JANEIRO,-22.25,-42.66,5,487,23088780
RIO DE JANEIRO,-22.25,-42.66,6,77,4151600
RIO DE JANEIRO,-22.25,-42.66,7,172,7774500
RIO DE JANEIRO,-22.25,-42.66,10,41,2073570
ALAGOAS,-9.62,-36.82,5,30,1624350
ALAGOAS,-9.62,-36.82,4,50,2765800
ALAGOAS,-9.62,-36.82,6,65,3255950
ALAGOAS,-9.62,-36.82,1,40,2282900
ALAGOAS,-9.62,-36.82,7,37,1300000
ALAGOAS,-9.62,-36.82,8,2,96580
BAHIA,-13.29,-41.71,5,60,3248700
BAHIA,-13.29,-41.71,4,75,4182900
BAHIA,-13.29,-41.71,7,314,14392940
BAHIA,-13.29,-41.71,8,82,4709220
BAHIA,-13.29,-41.71,12,7,384870
BAHIA,-13.29,-41.71,6,106,5622270
BAHIA,-13.29,-41.71,10,86,4445690
BAHIA,-13.29,-41.71,3,12,480000
BAHIA,-13.29,-41.71,9,10,600000
DISTRITO FEDERAL,-15.83,-47.86,9,50,2707250
DISTRITO FEDERAL,-15.83,-47.86,6,150,8297400
DISTRITO FEDERAL,-15.83,-47.86,4,30,1800000
DISTRITO FEDERAL,-15.83,-47.86,10,20,1000930
MARANHAO,-5.42,-45.44,5,45,2524350
MARANHAO,-5.42,-45.44,4,40,2165800
MARANHAO,-5.42,-45.44,8,63,3393570
MARANHAO,-5.42,-45.44,6,106,5458330
MARANHAO,-5.42,-45.44,7,49,2487250
MARANHAO,-5.42,-45.44,9,6,348290
MINAS GERAIS,-18.1,-44.38,8,199,11108590
MINAS GERAIS,-18.1,-44.38,12,30,1624350
MINAS GERAIS,-18.1,-44.38,6,259,13736660
MINAS GERAIS,-18.1,-44.38,4,20,800000
MINAS GERAIS,-18.1,-44.38,7,177,8571527.6
MINAS GERAIS,-18.1,-44.38,10,144,7773460
MINAS GERAIS,-18.1,-44.38,9,72,4120930
MATO GROSSO DO SUL,-20.51,-54.54,4,30,1565800
MATO GROSSO DO SUL,-20.51,-54.54,8,22,1179480
MATO GROSSO DO SUL,-20.51,-54.54,9,66,3573570
MATO GROSSO DO SUL,-20.51,-54.54,7,99,4802380
MATO GROSSO DO SUL,-20.51,-54.54,10,20,1200000
MATO GROSSO,-12.64,-55.42,8,20,1082900
MATO GROSSO,-12.64,-55.42,6,130,5765800
MATO GROSSO,-12.64,-55.42,7,58,2732640
MATO GROSSO,-12.64,-55.42,10,32,1674090
MATO GROSSO,-12.64,-55.42,9,14,758030
